workers	size	messages/s
1	1	259.21
1	2	358.76
1	4	393.32
1	8	343.74
1	16	265.82
1	32	196.85
2	1	313.64
2	2	369.50
2	4	378.69
2	8	325.08
2	16	250.26
2	32	186.55
