workers	size	messages/s
1	1	487.21
1	2	784.38
1	4	1042.67
1	8	1043.63
1	16	854.34
1	32	654.05
2	1	690.50
2	2	922.82
2	4	1024.54
2	8	954.71
2	16	787.77
2	32	607.68
4	1	695.51
4	2	932.44
4	4	1025.64
4	8	942.33
4	16	778.78
4	32	602.44
