workers	size	messages/s
1	1	656.13
1	2	859.54
1	4	877.80
1	8	756.78
1	16	616.67
1	32	541.51
2	1	616.11
2	2	814.29
2	4	823.69
2	8	703.62
2	16	553.39
2	32	492.18
4	1	617.31
4	2	814.19
4	4	822.46
4	8	653.68
4	16	552.27
4	32	513.05
