workers	size	messages/s
1	1	450.24
1	2	593.75
1	4	633.71
1	8	570.33
1	16	479.21
1	32	422.45
2	1	485.52
2	2	577.72
2	4	575.56
2	8	533.34
2	16	453.23
2	32	389.03
4	1	486.44
4	2	583.65
4	4	584.54
4	8	535.77
4	16	454.77
4	32	386.58
