workers	size	messages/s
1	1	443.94
1	2	748.63
1	4	730.18
1	8	577.52
1	16	428.58
1	32	305.87
2	1	519.82
2	2	716.49
2	4	696.56
2	8	547.21
2	16	381.12
2	32	289.28
