workers	size	messages/s
1	1	1233.12
1	2	1834.60
1	4	2202.43
1	8	2150.16
1	16	1761.56
1	32	1458.36
2	1	1287.75
2	2	1870.55
2	4	2175.54
2	8	2054.01
2	16	1637.78
2	32	1347.96
4	1	1286.60
4	2	1871.98
4	4	2170.66
4	8	2062.64
4	16	1644.68
4	32	1345.91
