workers	size	messages/s
1	1	1445.62
1	2	2461.49
1	4	3448.46
1	8	3662.51
1	16	3077.81
1	32	2259.30
2	1	1521.17
2	2	2554.60
2	4	3507.60
2	8	3592.56
2	16	2881.05
2	32	2102.85
4	1	1524.47
4	2	2553.31
4	4	3508.07
4	8	3575.46
4	16	2871.02
4	32	2102.60
