workers	size	messages/s
1	1	854.51
1	2	1375.50
1	4	1947.81
1	8	2484.48
1	16	2968.19
1	32	3006.25
2	1	1076.82
2	2	1709.06
2	4	2386.13
2	8	3014.14
2	16	3581.28
2	32	3203.06
4	1	1164.72
4	2	1931.65
4	4	2828.26
4	8	3643.89
4	16	3993.99
4	32	3281.21
6	1	1186.01
6	2	2020.41
6	4	3008.43
6	8	3821.26
6	16	4001.07
6	32	3252.97
8	1	1206.46
8	2	2058.70
8	4	3121.56
8	8	3985.25
8	16	4023.79
8	32	3286.50
10	1	1197.59
10	2	2083.09
10	4	3163.06
10	8	4037.42
10	16	4021.46
10	32	3335.23
12	1	1197.84
12	2	2079.80
12	4	3155.38
12	8	4036.13
12	16	3988.86
12	32	3242.75
