workers	size	messages/s
1	1	260.16
1	2	440.35
1	4	600.08
1	8	611.70
1	16	548.19
1	32	515.42
2	1	294.83
2	2	442.31
2	4	558.98
2	8	562.20
2	16	501.09
2	32	465.65
4	1	295.03
4	2	445.47
4	4	560.20
4	8	567.21
4	16	503.10
4	32	464.97
6	1	294.59
6	2	443.76
6	4	559.96
6	8	565.61
6	16	501.17
6	32	462.89
8	1	293.67
8	2	443.42
8	4	557.61
8	8	563.44
8	16	501.17
8	32	463.23
10	1	294.44
10	2	444.94
10	4	559.32
10	8	562.29
10	16	499.26
10	32	466.51
12	1	293.46
12	2	444.09
12	4	559.40
12	8	565.57
12	16	502.31
12	32	464.30
