workers	size	messages/s
1	1	830.77
1	2	1220.79
1	4	1442.09
1	8	1322.44
1	16	1075.52
1	32	761.69
2	1	795.83
2	2	1160.30
2	4	1356.15
2	8	1243.13
2	16	893.15
2	32	703.59
4	1	793.70
4	2	1155.27
4	4	1351.76
4	8	1062.56
4	16	893.93
4	32	741.17
