workers	size	messages/s
1	1	867.33
1	2	1287.87
1	4	1381.02
1	8	1124.48
1	16	795.12
1	32	546.92
2	1	927.73
2	2	1337.18
2	4	1377.19
2	8	1081.68
2	16	752.91
2	32	519.48
